Age,Number
0,503385
1,458222
2,458515
3,471886
4,478003
5,435984
6,383178
7,406527
8,410644
9,331966
10,366467
11,320297
12,347324
13,309008
14,327295
15,297228
16,261776
17,226281
18,268654
19,222753
20,271768
21,233762
22,256800
23,237068
24,240931
25,262460
26,223390
27,195567
28,248158
29,173401
30,228287
31,145976
32,169408
33,153458
34,130418
35,161637
36,133831
37,103043
38,136658
39,88161
40,137398
41,60745
42,80390
43,71762
44,90936
45,84730
46,66011
47,52873
48,87664
49,51912
50,92552
51,40858
52,50768
53,40404
54,45052
55,50564
56,54671
57,35273
58,66723
59,50983
60,59660
61,31320
62,31801
63,35925
64,25973
65,32335
66,31181
67,20166
68,45388
69,24759
70,35722
71,15820
72,20837
73,19161
74,14480
75,22899
76,26920
77,14261
78,29436
79,13253
80,20108
81,9644
82,10823
83,8105
84,7290
85,7092
86,11706
87,5991
88,11873
89,4122
90,6779
91,1946
92,2184
93,4121
94,3709
95,2535
96,1755
97,1854
