Age,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70
0,1.97,1.32,0.36,0.3,0.29,0.75,0.92,0.73,0.2,0.23,0.25,0.13,0.4,0.08,0.23
5,1.09,4.8,1.22,0.36,0.02,0.37,0.43,0.77,0.4,0.39,0.22,0.12,0.18,0.17,0.04
10,0.4,1.57,8.48,1.55,0.21,0.05,0.42,0.81,0.88,0.63,0.2,0.13,0.08,0.25,0.08
15,0.21,0.23,1.04,4.56,1.09,0.35,0.1,0.35,0.6,0.66,0.49,0.17,0.08,0.09,0.15
20,0.18,0.33,0.22,1.09,2.71,1.49,0.7,0.71,0.57,0.89,0.59,0.32,0.27,0.28,0.15
25,0.71,0.4,0.34,0.51,1.45,2.09,0.95,1.39,0.77,0.55,1,0.72,0.45,0.39,0.35
30,0.88,0.87,0.54,0.44,0.79,1.3,1.57,1.58,0.83,1,1.15,0.88,0.69,0.39,0.15
35,0.84,1.01,0.78,0.58,0.5,1.05,1.25,2.06,1,0.84,0.71,0.83,0.69,0.36,0.31
40,0.6,1.09,1.39,0.72,0.6,0.81,0.88,1.71,2.08,1.45,1.32,1.07,0.63,0.33,0.46
45,0.49,0.52,0.81,1.17,0.62,0.84,0.9,1.18,1.5,1.33,1.49,0.92,0.47,0.3,0.23
50,0.44,0.47,0.48,0.53,0.62,1.02,0.8,1.4,1.58,1.13,1.64,1.45,0.6,0.36,0.35
55,0.33,0.29,0.21,0.39,0.33,0.49,0.78,0.5,0.58,0.55,1.46,1.28,0.82,0.5,0.23
60,0.38,0.25,0.11,0.11,0.07,0.25,0.52,0.35,0.18,0.42,0.66,0.52,1.27,0.58,0.46
65,0.19,0.22,0.08,0.07,0.09,0.09,0.13,0.21,0.25,0.13,0.19,0.27,0.53,0.77,0.81
70,0.15,0.19,0.21,0.15,0.12,0.14,0.25,0.23,0.43,0.3,0.37,0.4,0.6,0.88,1.69
