Age,Pop
0,428376
1,403825
2,381348
3,361231
4,347039
5,340994
6,341289
7,343194
8,343600
9,341260
10,337623
11,334526
12,331208
13,327452
14,323117
15,318124
16,313449
17,309155
18,305641
19,304660
20,304799
21,301630
22,299851
23,297027
24,293883
25,289847
26,284724
27,284485
28,290433
29,294750
30,286033
31,263629
32,241851
33,205069
34,183088
35,164294
36,154443
37,146777
38,137339
39,125516
40,113052
41,100368
42,90465
43,82641
44,75979
45,71726
46,69086
47,66888
48,65022
49,63508
50,62340
51,61124
52,60002
53,59133
54,58402
55,57739
56,56860
57,55736
58,54412
59,52623
60,50335
61,47444
62,44222
63,41141
64,38452
65,36432
66,34746
67,33120
68,31514
69,30049
70,28779
71,27479
72,26204
73,24979
74,23673
75,22275
76,20682
77,19052
78,17494
79,15934
80,14398
81,12801
82,11234
83,9774
84,8459
85,5306
86,5306
87,5306
88,5306
89,5306
90,1778.8
91,1778.8
92,1778.8
93,1778.8
94,1778.8
95,352.2
96,352.2
97,352.2
